surface_text,book,chapter,verse,clause_atom,predicate,reference,participant,actor,slots,func,compound,otype
JDBR,Leviticus,17,1,528163,DBR,DBR,3sm=JHWH,JHWH,63009,VbPred,0,943175
JHWH,Leviticus,17,1,528163,DBR,JHWH,3sm=JHWH,JHWH,63010,Subj,1,943176
>L MCH,Leviticus,17,1,528163,DBR,>L MCH,0sm=MCH,MCH,63011 63012,Compl1,2,943177
L->MR,Leviticus,17,1,528164,>MR,L >MR,3sm=JHWH,JHWH,63013 63014,VbPred,3,943178
DBR,Leviticus,17,2,528165,DBR,DBR,2sm=,MCH,63015,VbPred,4,943179
>L >HRN W->L BNJW W->L KL BNJ JFR>L,Leviticus,17,2,528165,DBR,>L >HRN W >L BN+S W >L KL BN JFR>L,3pm=>HRN BN+>HRN FR>L,>HRN BN >HRN BN JFR>L,63016 63017 63018 63019 63020 63021 63022 63023 63024 63025,Compl1,5 6 7 8 9 10 11,943180
>L >HRN W->L BNJW,Leviticus,17,2,528165,DBR,>L >HRN W >L BN+S,...,...,63016 63017 63018 63019 63020,#NAVN?,6 7 8 9,...
>L >HRN,Leviticus,17,2,528165,DBR,>L >HRN,3sm=>HRN,>HRN,63016 63017,#NAVN?,7,1317252
>L BNJW,Leviticus,17,2,528165,DBR,>L BN+312,...,BN >HRN,63019 63020,#NAVN?,8 9,1317253
sfx:W,Leviticus,17,2,528165,DBR,sfx,3sm=>HRN,>HRN,63020,#NAVN?,9,63020
BNJ JFR>L,Leviticus,17,2,528165,DBR,BN JFR>L,0pm=BN JFR>L,BN JFR>L,63024 63025,#NAVN?,10 11,1317258
JFR>L,Leviticus,17,2,528165,DBR,JFR>L,JFR>L,JFR>L,63025,#NAVN?,11,1317257
>MRT,Leviticus,17,2,528166,>MR,>MR,2sm=,MCH,63027,VbPred,12,943182
sfx:HM,Leviticus,17,2,528166,>MR,sfx,3pm=>HRN BN+>HRN FR>L,>HRN BN >HRN BN JFR>L,63028,Compl1,13,63028
ZH,Leviticus,17,2,528167,....,ZH,0sm=DBR,DBR,63029,Subj,14,943184
H-DBR,Leviticus,17,2,528167,....,H DBR,0sm=DBR,DBR,63030 63031,PrCompl,15,943185
YWH,Leviticus,17,2,528168,YWH,YWH,3sm=JHWH,JHWH,63033,VbPred,16,943187
JHWH,Leviticus,17,2,528168,YWH,JHWH,3sm=JHWH,JHWH,63034,Subj,17,943188
L->MR,Leviticus,17,2,528169,>MR,L >MR,3sm=JHWH,JHWH,63035 63036,VbPred,18,943189
>JC >JC,Leviticus,17,3,528170,....,>JC >JC,3sm=>JC >JC,>JC >JC,63037 63038,572,19 20 21,943190
>JC,Leviticus,17,3,528170,....,>JC,...,...,63037,#NAVN?,20,...
>JC,Leviticus,17,3,528170,....,>JC,0sm=>JC,>JC,63038,#NAVN?,21,1317261
M-BJT JFR>L,Leviticus,17,3,528170,....,MN BJT JFR>L,0sm=BJT JFR>L,BJT JFR>L,63039 63040 63041,#NAVN?,22 23,943191
JFR>L,Leviticus,17,3,528170,....,JFR>L,JFR>L,JFR>L,63041,#NAVN?,23,1317263
JCXV,Leviticus,17,3,528171,CXV,CXV,3sm=>JC >JC,>JC >JC,63043,VbPred,24,943193
CWR >W KFB >W <Z,Leviticus,17,3,528171,CXV,CWR >W KFB >W <Z,3sm=CWR KFB <Z,CWR KFB <Z,63044 63045 63046 63047 63048,Obj1,25 26 27 28 29,943194
CWR >W KFB,Leviticus,17,3,528171,CXV,CWR >W KFB,...,...,63044 63045 63046,#NAVN?,26 27 28,...
CWR,Leviticus,17,3,528171,CXV,CWR,...,...,63044,#NAVN?,27,...
KFB,Leviticus,17,3,528171,CXV,KFB,...,...,63046,#NAVN?,28,...
<Z,Leviticus,17,3,528171,CXV,<Z,...,...,63048,#NAVN?,29,...
B--MXNH,Leviticus,17,3,528171,CXV,B H MXNH,MXNH,MXNH,63049 63050 63051,Locat,30,943195
JCXV,Leviticus,17,3,528172,CXV,CXV,3sm=>JC >JC,>JC >JC,63054,VbPred,31,943198
M-XWY,Leviticus,17,3,528172,CXV,MN XWY,...,...,63055 63056,Locat,32,...
L--MXNH,Leviticus,17,3,528172,CXV,L H MXNH,MXNH,MXNH,63057 63058 63059,#NAVN?,33,943200
>L PTX >HL MW<D,Leviticus,17,4,528173,BW>,>L PTX >HL MW<D,0sm=PTX >HL MW<D,PTX >HL MW<D,63061 63062 63063 63064,Compl1,34 35 36,943202
>HL MW<D,Leviticus,17,4,528173,BW>,>HL MW<D,0sm=>HL MW<D,>HL MW<D,63063 63064,#NAVN?,35 36,1317271
MW<D,Leviticus,17,4,528173,BW>,MW<D,0sm=MW<D,MW<D,63064,#NAVN?,36,1317270
HBJ>W,Leviticus,17,4,528173,BW>,BW>,3sm=>JC >JC,>JC >JC,63066,VbPred,37 38,943204
sfx:W,Leviticus,17,4,528173,BW>,sfx,3sm=CWR KFB <Z,CWR KFB <Z,63066,Obj1,38,63066
L-HQRJB,Leviticus,17,4,528174,QRB,L QRB,3sm=>JC >JC,>JC >JC,63067 63068,VbPred,39,943205
QRBN,Leviticus,17,4,528174,QRB,QRBN,...,...,63069,Obj1,40,...
L-JHWH,Leviticus,17,4,528174,QRB,L JHWH,0sm=JHWH,JHWH,63070 63071,#NAVN?,41,943207
L-PNJ MCKN JHWH,Leviticus,17,4,528174,QRB,L PNH MCKN JHWH,...,...,63072 63073 63074 63075,Compl1,42 43 44,...
MCKN JHWH,Leviticus,17,4,528174,QRB,MCKN JHWH,...,...,63074 63075,#NAVN?,43 44,...
JHWH,Leviticus,17,4,528174,QRB,JHWH,0sm=JHWH,JHWH,63075,#NAVN?,44,1317274
DM,Leviticus,17,4,528175,XCB,DM,3sm=DM,DM,63076,Subj,45,943209
JXCB,Leviticus,17,4,528175,XCB,XCB,3sm=DM,DM,63077,VbPred,46,943210
L-->JC H-HW>,Leviticus,17,4,528175,XCB,L H >JC H HW>,3sm=>JC >JC,>JC >JC,63078 63079 63080 63081 63082,Compl1,47,943211
DM,Leviticus,17,4,528176,CPK,DM,3sm=DM,DM,63083,Obj1,48,943212
CPK,Leviticus,17,4,528176,CPK,CPK,3sm=>JC >JC,>JC >JC,63084,VbPred,49,943213
NKRT,Leviticus,17,4,528177,KRT,KRT,3sm=>JC >JC,>JC >JC,63086,VbPred,50,943215
H->JC H-HW>,Leviticus,17,4,528177,KRT,H >JC H HW>,3sm=>JC >JC,>JC >JC,63087 63088 63089 63090,Subj,51,943216
M-QRB <MW,Leviticus,17,4,528177,KRT,MN QRB <M+S,0sm=QRB <M+>JC >JC,QRB <M >JC >JC,63091 63092 63093,Compl1,52 53 54,943217
<MW,Leviticus,17,4,528177,KRT,<M+312,...,...,63093,#NAVN?,53 54,...
sfx:W,Leviticus,17,4,528177,KRT,sfx,3sm=>JC >JC,>JC >JC,63093,#NAVN?,54,63093
JBJ>W,Leviticus,17,5,528178,BW>,BW>,3pm=BN JFR>L,BN JFR>L,63096,VbPred,55,943219
BNJ JFR>L,Leviticus,17,5,528178,BW>,BN JFR>L,3pm=BN JFR>L,BN JFR>L,63097 63098,Subj,56 57,943220
JFR>L,Leviticus,17,5,528178,BW>,JFR>L,JFR>L,JFR>L,63098,#NAVN?,57,1317283
>T ZBXJHM,Leviticus,17,5,528178,BW>,>T ZBX+332,3pm=ZBX+BN JFR>L,ZBX BN JFR>L,63099 63100,Obj1,58 59,943221
sfx:HM,Leviticus,17,5,528178,BW>,sfx,3pm=BN JFR>L,BN JFR>L,63100,#NAVN?,59,63100
HM,Leviticus,17,5,528179,....,HM,3pm=BN JFR>L,BN JFR>L,63102,Subj,60,943223
ZBXJM,Leviticus,17,5,528179,....,ZBX,3pm=BN JFR>L,BN JFR>L,63103,PrCompl,61,943224
<L PNJ H-FDH,Leviticus,17,5,528179,....,<L PNH H FDH,...,...,63104 63105 63106 63107,Locat,62 63,...
H-FDH,Leviticus,17,5,528179,....,H FDH,...,...,63106 63107,#NAVN?,63,...
HBJ>M,Leviticus,17,5,528180,BW>,BW>,3pm=BN JFR>L,BN JFR>L,63109,VbPred,64 65,943227
sfx:M,Leviticus,17,5,528180,BW>,sfx,3pm=ZBX+BN JFR>L,ZBX BN JFR>L,63109,Obj1,65,63109
L-JHWH,Leviticus,17,5,528180,BW>,L JHWH,0sm=JHWH,JHWH,63110 63111,Compl1,66,943228
>L PTX >HL MW<D,Leviticus,17,5,528180,BW>,>L PTX >HL MW<D,0sm=PTX >HL MW<D,PTX >HL MW<D,63112 63113 63114 63115,504,67 68 69,943229
>HL MW<D,Leviticus,17,5,528180,BW>,>HL MW<D,0sm=>HL MW<D,>HL MW<D,63114 63115,#NAVN?,68 69,1317289
MW<D,Leviticus,17,5,528180,BW>,MW<D,0sm=MW<D,MW<D,63115,#NAVN?,69,1317288
>L H-KHN,Leviticus,17,5,528180,BW>,>L H KHN,3sm=KHN,KHN,63116 63117 63118,Compl2,70,943230
ZBXW,Leviticus,17,5,528181,ZBX,ZBX,3pm=BN JFR>L,BN JFR>L,63120,VbPred,71,943232
ZBXJ CLMJM,Leviticus,17,5,528181,ZBX,ZBX CLM,...,...,63121 63122,Obj1,72 73,...
CLMJM,Leviticus,17,5,528181,ZBX,CLM,...,...,63122,#NAVN?,73,...
L-JHWH,Leviticus,17,5,528181,ZBX,L JHWH,0sm=JHWH,JHWH,63123 63124,#NAVN?,74,943234
sfx:M,Leviticus,17,5,528181,ZBX,sfx,3pm=ZBX+BN JFR>L,ZBX BN JFR>L,63125,Obj2,75,63125
ZRQ,Leviticus,17,6,528182,ZRQ,ZRQ,3sm=KHN,KHN,63127,VbPred,76,943237
H-KHN,Leviticus,17,6,528182,ZRQ,H KHN,3sm=KHN,KHN,63128 63129,Subj,77,943238
>T H-DM,Leviticus,17,6,528182,ZRQ,>T H DM,3sm=DM,DM,63130 63131 63132,Obj1,78,943239
<L MZBX JHWH,Leviticus,17,6,528182,ZRQ,<L MZBX JHWH,0sm=MZBX JHWH,MZBX JHWH,63133 63134 63135,Compl1,79 80,943240
JHWH,Leviticus,17,6,528182,ZRQ,JHWH,0sm=JHWH,JHWH,63135,#NAVN?,80,1317293
PTX >HL MW<D,Leviticus,17,6,528182,ZRQ,PTX >HL MW<D,...,PTX >HL MW<D,63136 63137 63138,#NAVN?,81 82 83,943241
>HL MW<D,Leviticus,17,6,528182,ZRQ,>HL MW<D,0sm=>HL MW<D,>HL MW<D,63137 63138,#NAVN?,82 83,1317297
MW<D,Leviticus,17,6,528182,ZRQ,MW<D,0sm=MW<D,MW<D,63138,#NAVN?,83,1317296
HQVJR,Leviticus,17,6,528183,QVR,QVR,3sm=KHN,KHN,63140,VbPred,84,943243
H-XLB,Leviticus,17,6,528183,QVR,H XLB,...,...,63141 63142,Obj1,85,...
L-RJX NJXX,Leviticus,17,6,528183,QVR,L RJX NJXX,...,...,63143 63144 63145,Compl1,86 87,...
NJXX,Leviticus,17,6,528183,QVR,NJXX,...,...,63145,#NAVN?,87,...
L-JHWH,Leviticus,17,6,528183,QVR,L JHWH,0sm=JHWH,JHWH,63146 63147,#NAVN?,88,943246
JZBXW,Leviticus,17,7,528184,ZBX,ZBX,3pm=BN JFR>L,BN JFR>L,63150,VbPred,89,943249
>T ZBXJHM,Leviticus,17,7,528184,ZBX,>T ZBX+332,3pm=ZBX+BN JFR>L,ZBX BN JFR>L,63152 63153,Obj1,90 91,943251
sfx:HM,Leviticus,17,7,528184,ZBX,sfx,3pm=BN JFR>L,BN JFR>L,63153,#NAVN?,91,63153
L--F<JRM,Leviticus,17,7,528184,ZBX,L H F<JR,3pm=F<JR,F<JR,63154 63155 63156,Compl1,92,943252
HM,Leviticus,17,7,528185,....,HM,3pm=BN JFR>L,BN JFR>L,63158,Subj,93,943254
ZNJM,Leviticus,17,7,528185,....,ZNH,3pm=BN JFR>L,BN JFR>L,63159,PrCompl,94,943255
sfx:HM,Leviticus,17,7,528185,....,sfx,3pm=F<JR,F<JR,63160,Compl1,95,63160
XQT <WLM,Leviticus,17,7,528186,HJH,XQH <WLM,3sf=XQH <WLM,XQH <WLM,63161 63162,PrCompl,96 97,943257
<WLM,Leviticus,17,7,528186,HJH,<WLM,...,...,63162,#NAVN?,97,...
THJH,Leviticus,17,7,528186,HJH,HJH,3sf=XQH <WLM,XQH <WLM,63163,VbPred,98,943258
Z>T,Leviticus,17,7,528186,HJH,Z>T,3sf=XQH <WLM,XQH <WLM,63164,Subj,99,943259
sfx:HM,Leviticus,17,7,528186,HJH,sfx,3pm=BN JFR>L,BN JFR>L,63165,505,100,63165
L-DRTM,Leviticus,17,7,528186,HJH,L DWR+332,...,...,63166 63167,Adjunc,101 102,...
sfx:M,Leviticus,17,7,528186,HJH,sfx,3pm=BN JFR>L,BN JFR>L,63167,#NAVN?,102,63167
sfx:HM,Leviticus,17,8,528187,>MR,sfx,3pm=BN JFR>L,BN JFR>L,63169,#NAVN?,103,63169
T>MR,Leviticus,17,8,528187,>MR,>MR,2sm=,MCH,63170,VbPred,104,943264
>JC >JC,Leviticus,17,8,528188,....,>JC >JC,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63171 63172,572,105 106 107,943265
>JC,Leviticus,17,8,528188,....,>JC,...,...,63171,#NAVN?,106,...
>JC,Leviticus,17,8,528188,....,>JC,3sm=>JC,…,63172,#NAVN?,107,1317303
M-BJT JFR>L W-MN H-GR,Leviticus,17,8,528188,....,MN BJT JFR>L W MN H GR,0sm=BJT JFR>L GR,BJT JFR>L GR,63173 63174 63175 63176 63177 63178 63179,#NAVN?,108 109 110 111,943266
M-BJT JFR>L,Leviticus,17,8,528188,....,MN BJT JFR>L,3pm=BJT JFR>L,BJT JFR>L,63173 63174 63175,#NAVN?,109 110,1317306
JFR>L,Leviticus,17,8,528188,....,JFR>L,JFR>L,JFR>L,63175,#NAVN?,110,1317305
MN H-GR,Leviticus,17,8,528188,....,MN H GR,3sm=GR,GR,63177 63178 63179,#NAVN?,111,1317307
JGWR,Leviticus,17,8,528189,GWR,GWR,3sm=GR,GR,63181,VbPred,112,943268
B-TWKM,Leviticus,17,8,528189,GWR,B TWK+332,...,...,63182 63183,Compl1,113 114,...
sfx:KM,Leviticus,17,8,528189,GWR,sfx,3pm=BJT JFR>L,BJT JFR>L,63183,#NAVN?,114,63183
J<LH,Leviticus,17,8,528190,<LH,<LH,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63185,VbPred,115,943271
<LH >W ZBX,Leviticus,17,8,528190,<LH,<LH >W ZBX,3sf=<LH ZBX,<LH ZBX,63186 63187 63188,Obj1,116 117 118,943272
<LH,Leviticus,17,8,528190,<LH,<LH,...,...,63186,#NAVN?,117,...
ZBX,Leviticus,17,8,528190,<LH,ZBX,...,...,63188,#NAVN?,118,...
>L PTX >HL MW<D,Leviticus,17,9,528191,BW>,>L PTX >HL MW<D,0sm=PTX >HL MW<D,PTX >HL MW<D,63190 63191 63192 63193,Compl1,119 120 121,943274
>HL MW<D,Leviticus,17,9,528191,BW>,>HL MW<D,0sm=>HL MW<D,>HL MW<D,63192 63193,#NAVN?,120 121,1317313
MW<D,Leviticus,17,9,528191,BW>,MW<D,0sm=MW<D,MW<D,63193,#NAVN?,121,1317312
JBJ>NW,Leviticus,17,9,528191,BW>,BW>,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63195,VbPred,122 123,943276
sfx:NW,Leviticus,17,9,528191,BW>,sfx,3sf=<LH ZBX,<LH ZBX,63195,Obj1,123,63195
L-<FWT,Leviticus,17,9,528192,<FH,L <FH,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63196 63197,VbPred,124,943277
sfx:W,Leviticus,17,9,528192,<FH,sfx,3sf=<LH ZBX,<LH ZBX,63198,Obj1,125,63198
L-JHWH,Leviticus,17,9,528192,<FH,L JHWH,0sm=JHWH,JHWH,63199 63200,Compl1,126,943279
NKRT,Leviticus,17,9,528193,KRT,KRT,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63202,VbPred,127,943281
H->JC H-HW>,Leviticus,17,9,528193,KRT,H >JC H HW>,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63203 63204 63205 63206,Subj,128,943282
M-<MJW,Leviticus,17,9,528193,KRT,MN <M+312,...,...,63207 63208,Compl1,129 130,...
sfx:W,Leviticus,17,9,528193,KRT,sfx,3sm=>JC >JC,>JC >JC BJT JFR>L GR,63208,#NAVN?,130,63208
>JC,Leviticus,17,10,528194,....,>JC,3sm=>JC,>JC,63210,572,131,943285
>JC,Leviticus,17,10,528194,....,>JC,3sm=>JC,>JC,63211,#NAVN?,132,943286
M-BJT JFR>L W-MN H-GR,Leviticus,17,10,528194,....,MN BJT JFR>L W MN H GR,0sm=BJT JFR>L GR,BJT JFR>L GR,63212 63213 63214 63215 63216 63217 63218,#NAVN?,133 134 135 136,943287
M-BJT JFR>L,Leviticus,17,10,528194,....,MN BJT JFR>L,3pm=BJT JFR>L,BJT JFR>L,63212 63213 63214,#NAVN?,134 135,1317318
JFR>L,Leviticus,17,10,528194,....,JFR>L,JFR>L,JFR>L,63214,#NAVN?,135,1317317
MN H-GR,Leviticus,17,10,528194,....,MN H GR,3sm=GR,GR,63216 63217 63218,#NAVN?,136,1317319
GR,Leviticus,17,10,528195,....,GWR,3sm=GR,GR,63220,PrCompl,137,943289
B-TWKM,Leviticus,17,10,528195,....,B TWK+332,...,...,63221 63222,Compl1,138 139,...
sfx:KM,Leviticus,17,10,528195,....,sfx,3pm=BJT JFR>L,BJT JFR>L,63222,#NAVN?,139,63222
J>KL,Leviticus,17,10,528196,>KL,>KL,3sm=>JC,>JC >JC BJT JFR>L GR,63224,VbPred,140,943292
DM,Leviticus,17,10,528196,>KL,DM,3sm=DM,DM,63226,Obj1,141,1317321
NTTJ,Leviticus,17,10,528197,NTN,NTN,1sc=>NJ,JHWH,63228,VbPred,142,943295
PNJ,Leviticus,17,10,528197,NTN,PNH+110,...,...,63229,Obj1,143 144,...
sfx:J,Leviticus,17,10,528197,NTN,sfx,1sc=>NJ,JHWH,63229,#NAVN?,144,63229
B--NPC,Leviticus,17,10,528197,NTN,B H NPC,3sf=NPC,NPC,63230 63231 63232,Compl1,145,943297
>KLT,Leviticus,17,10,528198,....,>KL,3sf=NPC,NPC,63234,PrCompl,146,943299
>T H-DM,Leviticus,17,10,528198,....,>T H DM,3sm=DM,DM,63235 63236 63237,Obj1,147,943300
HKRTJ,Leviticus,17,10,528199,KRT,KRT,1sc=>NJ,JHWH,63239,VbPred,148,943302
sfx:H,Leviticus,17,10,528199,KRT,sfx,3sf=NPC,NPC,63240,Obj1,149,63240
M-QRB <MH,Leviticus,17,10,528199,KRT,MN QRB <M+S,0sm=QRB <M+NPC,QRB <M NPC,63241 63242 63243,Compl1,150 151 152,943304
<MH,Leviticus,17,10,528199,KRT,<M+311,...,...,63243,#NAVN?,151 152,...
sfx:H,Leviticus,17,10,528199,KRT,sfx,3sf=NPC,NPC,63243,#NAVN?,152,63243
NPC H-BFR,Leviticus,17,11,528200,....,NPC H BFR,3sf=NPC BFR,NPC BFR,63245 63246 63247,572,153 154,943306
H-BFR,Leviticus,17,11,528200,....,H BFR,0sm=BFR,BFR,63246 63247,#NAVN?,154,1317325
B--DM,Leviticus,17,11,528201,....,B H DM,3sm=DM,NPC BFR,63248 63249 63250,PrCompl,155,943307
HW>,Leviticus,17,11,528201,....,HJ>,3sf=NPC BFR,NPC BFR,63251,Subj,156,943308
>NJ,Leviticus,17,11,528202,NTN,>NJ,1sc=>NJ,JHWH,63253,Subj,157,943310
NTTJW,Leviticus,17,11,528202,NTN,NTN,1sc=>NJ,JHWH,63254,VbPred,158 159,943311
sfx:W,Leviticus,17,11,528202,NTN,sfx,3sm=DM,DM,63254,Obj1,159,63254
sfx:KM,Leviticus,17,11,528202,NTN,sfx,2pm=,BN JFR>L,63255,Adjunc,160,63255
<L H-MZBX,Leviticus,17,11,528202,NTN,<L H MZBX,0sm=MZBX,MZBX,63256 63257 63258,Compl1,161,943313
